ver,曲名,BPM,notes,属性,詳細攻略
28,That Feeling(A),150,973,CN,召しませ！BISTROVER Europeエリア

26,The Best of Both Worlds(A),160,1128,,

18,THE BLACK KNIGHT(H),154,1067,CN、階段,

27,THE BRAVE MUST DIE(H),215,1283,,

25,THE CANNONBALLER(H),170,1236,,

25,The Chase(H),142,710,,

24,The Commanders(A),150,1227,,

26,THE DAY OF JUBILATIONS(H),181,1234,,

15,THE DEEP STRIKER(H),173,1150,同時押し、縦連打,

14,THE DETONATOR(H),173,1284,,SPADAでAC移植

13,The Dirty of Loudness(H),165,1154,全押し、乱打、同時押し、中盤発狂,

18,THE DOOR INTO RAINBOW(A),155,1123,"CN,BSS",

27,THE F∀UST(H),170,1183,,HEROIC WORKOUT!!

11,The Hope of Tomorrow(A),144,992,トリル、中盤発狂、難核地雷,

