 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[3], ,ラブリー(EX),8月のサヨナラ,108, ,710,弱(-0.871±0.6)
[4], ,ヴィジュアル2(EX),Cry Out,184,1:48,685,中(+0.233±0.5)
[7], ,グラムロック(EX),スペースキッス,100,2:07,811,弱(-0.855±0.6)
[7], ,スペシャルエンディング2(H),Ending theme of pop'n music6,172,1:39,718,弱(-0.449±0.5)
[7], ,バリトランス(EX),Denpasar,135,1:41,725,弱(-0.471±0.7)
[7], ,ミスティ(EX),platonic love,125,1:55,848,詐称(+0.882±0.3)
[9], ,ガールズロック(H),☆shining☆,185,1:47,860,中(+0.205±0.4)
[9], ,ショウワカヨウREMIX(H),林檎と蜂蜜(美味しさ倍増MIX),260,1:50,807,中(+0.232±0.6)
[9], ,プライド(EX),掌(てのひら)の革命,132,1:43,685,弱(-0.958±0.5)
[10], ,アンセムトランス(H),Votum stellarum,136～147,2:06,872,強(+0.479±0.6)
[10], ,エレジィ(H),幸せを謳う詩,167～210,2:01,819,中(+0.174±0.5)
[10], ,ガバ(H),disable dA STACK,185,1:49,929,中(+0.119±0.6)
[10], ,カリビアンビーツ(EX),SUMMER TIME,100,1:48,999,中(+0.072±0.8)
[10], ,コアグルーヴ(EX),THE PLACE TO BE,222,1:58,996,中(+0.253±0.4)
[10], ,ロマネスク(EX),ラブ・アコーディオン,186,1:37,788,詐称(+0.877±0.3)
[11], ,UKヒットチャート(H),MY GIFTS,185,2:02,1000,中(-0.098±0.5)
[12], ,ヴィヴァーチェ(EX),Citta'del sole,140,1:46,832,強(+0.487±0.5)
[12], ,ハイパーロッケンローレ(H),エイプリルフールの唄,179,1:59,1053,詐称(+0.829±0.4)
[12], ,ビビッド(H),For Dear～,166～188,1:49,988,詐称(+0.853±0.3)
[12], ,流星RAVE(H),流星☆ハニー,148,2:01,941,中(+0.268±0.5)
[12], ,ロックビリー(H),ススメ！少年！！,274,1:41,794,詐称(+0.856±0.3)
[13], ,カイゾク(H),KING of the SEA,160,2:06,949,強(+0.710±0.4)
[13], ,クイズマジックアカデミー(EX),マジックアカデミー組曲,75～170,2:02,922,強(+0.569±0.4)
[13], ,チップトロニカ(EX),Opportunity,137,1:58,900,詐称(+0.853±0.4)
[13], ,デスボサ(H),SUN/光線,155,1:59,1064,中(+0.239±0.5)
[13], ,デンキマツリ(EX),ポップン電気CMソング,90～160,1:56,888,弱(-0.992±0.5)
[13], ,ハードPf(H),fffff,138,1:42,820,詐称(+0.953±0.2)
[13], ,ハッピーJヴォーグ(EX),Spring Comes Around,124,2:02,819,中(-0.262±0.6)
[13], ,レーシング(H),violently car,170～300,1:58,818,強(+0.710±0.4)
[13],[版],GET WILD(EX),GET WILD,150,1:58,899,強(+0.403±0.4)
[14], ,エレディスコ(EX),電気ダンス,151,1:54,974,中(-0.002±0.5)
[14], ,応援歌(EX),燃やせ！青春　～ポップン学園応援歌～,140,2:01,1050,詐称(+0.909±0.3)
[14], ,ケンカドラム(H),BBLLAASSTT!!,320,1:39,811,強(+0.486±0.4)
[14], ,サイケデリックトランス(H),Psyche Planet-V,150,2:03,999,詐称(+0.877±0.3)
[14], ,太極拳(H),個胃Ｘ光,85～137,1:48,666,中(+0.299±0.4)
[14], ,ハイスピードラブソング(EX),High School Love,180,1:55,1105,弱(-0.522±0.5)
[14], ,ブルガリアンリズム(H),Deep Magenta,204,1:47,850,中(+0.174±0.4)
[14], ,ヘヴン(EX),ヴォイス,89～104,2:06,979,弱(-0.537±0.6)
[14], ,保健ラップ(EX),DOLLAR DOLLAR,146～150,1:58,896,中(-0.302±0.6)
[14], ,ポップデスコ(H),popdod,145,2:09,863,中(+0.380±0.5)
[15], ,アドベンチャー(EX),ポップン大冒険メドレー,125～153,2:03,1022,弱(-0.449±0.6)
[15], ,アンセムトランスREMIX(H),Votum stellarum -forest #25 RMX-,140,2:12,799,弱(-0.766±0.6)
[15], ,エンシャントユーロ(H),In The Ruins,156,1:50,794,強(+0.592±0.3)
[15], ,クリオネテクノ(EX),CLIO,138,1:47,838,強(+0.686±0.4)
[15], ,ラウドミクスチャー＆ラガ(H),Soul On Fire,182,2:04,1029,中(-0.387±0.4)
[15], ,IDM(H),ZETA～素数の世界と超越者～,90～180,2:05,937,中(+0.032±0.4)
[16], ,ヴィジュアル4(H),Desire,184,1:58,738,詐称(+0.829±0.3)
[16], ,スムーズソウル(EX),Runnin' Away,232,1:58,1038,詐称(+0.873±0.3)
[16], ,チップポップ(EX),EFFECT,138,2:00,990,中(+0.017±0.4)
[16], ,ネガメロック(H),繚乱ヒットチャート,192,2:00,1097,中(+0.119±0.6)
[16], ,バイキング(H),バイキングマン,100～133,1:58,926,強(+0.673±0.4)
[16], ,ビート4ディービー(EX),無限軌道ゲームミックス,138～143,2:10,1141,中(+0.071±0.4)
[16], ,ヒップロックREMIX(H),大見解の新見解,142～170,2:00,1013,弱(-0.895±0.5)
[16], ,PSGブレイクコア(H),CHIP'N RIDDIM,200,1:55,777,中(+0.159±0.6)
[17], ,エレジィ2(H),この子の七つのお祝いに,161,1:43,904,中(+0.049±0.5)
[17], ,オキナワッシヴ(EX),西表島琉球曲,147～179,1:41,781,強(+0.504±0.5)
[17], ,ギャラクシヴロック(H),Polaris,180,1:52,879,詐称(+0.892±0.3)
[18], ,サイコビリー(H),辞世テンプレート,220,2:03,1013,中(-0.138±0.6)
