 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度 

[2], ,マサラ(EX),すてきなタブーラ,129,1:52,976,中(+0.135±0.3)

[3], ,ケルト(EX),水中家族のテーマ,110,1:47,1010,中(+0.280±0.4)

[5], ,キネマ(EX),映画「SICILLIANA」のテーマ,102～125,1:43,832,強(+0.748±0.5)

[7], ,ソフトロックLONG(EX),Homesick Pt.2&3,178,2:26,1418,中(+0.302±0.5)

[7], ,ダークネス(EX),電気人形,109,1:37,921,中(-0.106±0.5)

[7], ,デスレゲエ(H),夜間行,102～205,1:46,795,強(+0.901±0.5)

[8], ,キャンディポップ(EX),CANDY♥,180,1:34,930,中(+0.074±0.4)

[8], ,サイケ(EX),L.A.N.,160,1:59,1023,中(+0.112±0.3)

[8], ,ニンジャ卍ヒーロー(EX),ニンジャヒーロー⚡シノビアン,42～680,1:45,909,強(+0.966±0.4)

[8], ,ユーロビート(EX),♥Love² シュガ→♥,155,1:54,1025,中(-0.179±0.6)

[8], ,ラグタイム(EX),RADICAL RAGTIME TOUR,190,1:48,912,中(+0.018±0.6)

[9], ,カウガールソング(EX),コヨーテの行方,124,1:58,1000,弱(-0.609±0.5)

[9], ,ハイパーJポップ2(EX),North Wind,145,1:55,838,中(+0.155±0.4)

[10], ,ガバ(EX),disable dA STACK,185,1:47,1017,強(+0.523±0.5)

[11], ,テツドウ(EX),Train,120,1:51,1077,強(+0.414±0.4)

[11], ,ホンコンユーロ(EX),Hong kong magic,150,1:45,938,中(+0.041±0.4)

[11], ,リンセイ(H),カゲロウ,164,2:00,1149,中(+0.135±0.4)

[12], ,敬老パンク(H),進め！爺ちゃん！,89～356,1:52,985,強(+0.654±0.5)

[12], ,サイバーガガク(H),Vairocana,145～290,1:46,794,強(+0.795±0.4)

[12], ,ニンジャ卍ヒロイン(EX),忍びアン子は恋の呪文,74～740,2:00,1067,強(+0.659±0.5)

[12], ,ハイパージャパネスク(EX),夢幻ノ光,171,1:50,1043,強(+0.686±0.4)

[13], ,アジアンミクスチャー(EX),桃源絵巻,160,1:47,871,強(+0.442±0.6)

[13], ,コウシンキョク(EX),ワンダーアイランド,141,1:37,965,中(-0.375±0.6)

