 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度 

[6], ,スコティッシュ(EX),Bubble Bagpipe Hour,148,1:30,953,弱(-0.658±0.7)

[6], ,ヒップロック(EX),大見解,143～172,1:59,947,中(-0.127±0.6)

[7], ,クラブジャズ(EX),Betty Boo,121,1:50,1087,中(+0.008±0.7)

[7], ,ハードロック(EX),SA－DA－ME,128,1:31,791,中(+0.327±0.5)

[7], ,ウィンターポップ(EX),White Lovers,125,1:40,957,弱(-0.722±0.6)

[8], ,ヴィジュアル3(EX),Late Riser,184,1:50,1111,弱(-0.656±0.6)

[8], ,テクノポップ(EX),321 STARS,192,1:19,824,強(+0.730±0.3)

[8], ,トゥイーポップ(EX),777,200,1:55,1201,強(+0.536±0.4)

[9], ,ガールズロック(EX),☆shining☆,185,1:46,1085,中(+0.363±0.6)

[10], ,アンセムトランス(EX),Votum stellarum,136～147,2:00,969,中(+0.026±0.6)

[10], ,サイバーアラビアン(EX),Arrabbiata,225,1:35,907,中(+0.028±0.6)

[10], ,ポップン体操(EX),ヒデオ体操第一,8～200,2:00,765,強(+0.428±0.6)

[10], ,ミクスチャー(EX),Jack,116,1:43,1077,中(+0.065±0.6)

[11], ,グラディウス(EX),GRADIUS -FULL SPEED-,160～220,1:54,995,強(+0.585±0.4)

[11], ,大河REMIX(EX),ANAHONIKUY -雪の華PuzzLeMix-,45～145,1:50,707,詐称(+1.040±0.3)

[11], ,トザン(EX) ,登山者たち,175,1:27,954,中(-0.203±0.5)

[11], ,ドラムンフライ(H),テンプラ揚三,171,1:52,474,強(+0.574±0.6)

[11], ,UKヒットチャート(EX),MY GIFTS,185,2:01,1224,弱(-0.418±0.5)

[12], ,アジアンコンチェルト(EX),鳳凰,74,1:48,732,中(+0.174±0.6)

[12], ,エイジロック(EX),カリスマ(ゲームサイズ),120,2:00,1163,中(+0.311±0.5)

[12], ,ガムラン(EX) ,Klungkung 1655,180,1:42,956,中(+0.130±0.6)

[12], ,クリスマスプレゼント(EX),Pop'n Xmas 2004 ～電子ノウタゴエ～,70～180,2:24,1040,強(+0.709±0.4)

[12], ,琴フュージョン(EX),琴古都,120,1:42,896,中(-0.392±0.7)

[12], ,ハイパーロッケンローレ(EX),エイプリルフールの唄,179,1:57,1280,詐称(+1.024±0.3)

[12], ,ハッピーキュートコア(EX),starmine(pop’n mixxx),174,1:45,1034,強(+0.787±0.4)

[12], ,メッセージソング(EX),MY,85～170,2:00,1082,強(+0.714±0.3)

[12], ,J-ロックφ(EX),Looking for…,209,2:02,1260,強(+0.975±0.3)

[13], ,デスボサ(EX) ,SUN/光線,155,1:57,1264,中(-0.142±0.4)

[13], ,メガネロック(EX),ポップミュージック論,190,1:44,1147,中(+0.165±0.5)

[13], ,ユーラシアロック(EX),Infinity Blue,190,2:06,1331,中(+0.187±0.5)

[14], ,スペースワルツ(EX),flutter,101～236,1:34,768,強(+0.675±0.5)

[14], ,太極拳(EX) ,個胃X光,85～137,1:41,844,強(+0.530±0.5)

[14], ,トライ▼ユーロ(EX),Let's go out!,160,1:44,978,詐称(+1.057±0.3)

[14], ,パペットアンサンブル(EX),セレクトショップに横たわるネコ,89～167,1:45,1080,強(+0.693±0.4)

[14], ,ポップデスコ(EX),popdod,145,2:01,1091,詐称(+1.126±0.2)

[15], ,悪魔城ドラキュラ(EX),悪魔城ドラキュラメドレー ～ハイブリッド・ヴァージョン～,120～135,2:03,1043,中(+0.237±0.4)

[15], ,エレフラッドウェイヴ(EX),Aqua,115,1:49,1115,中(-0.232±0.6)

[15], ,オービタリックテクノ(EX),Flow,140～280,1:39,867,強(+0.567±0.5)

[15], ,ガムラントランス(EX),Gamelan de Couple,150,1:25,848,強(+0.573±0.5)

[15], ,交響的物語(EX),駕篭の鳥,136,1:35,818,中(-0.030±0.5)

[16], ,エピックポエトリー(EX),Blind Justice ～Torn souls，Hurt Faiths～,137～165,2:04,1216,中(+0.170±0.8)

[16], ,トイコンテンポラリー(H),シュレーディンガーの猫,187,1:49,1238,強(+0.733±0.4)

[16], ,浪速っ子ブギ(EX),こなもん屋人情歌,186,1:52,1098,強(+0.503±0.5)

[16], ,ポップコーンパーティー(EX),microwave popcorn,240,2:00,1227,強(+0.495±0.5)

[17],[版],暗黒サイケデリック(EX),暗黒サイケデリック,135,1:37,997,強(+0.418±0.5)

[17], ,コンテンポラリーネイション4(EX),Tree in Lake ～消えたチチカカの木～,100,2:06,1138,中(-0.044±0.6)

[17], ,スペースオペラ(EX),Stardust Wanderers,78～160,1:55,946,強(+0.878±0.4)

[17], ,ハイパーファンタジア(EX),Fantasia,165,1:42,1214,強(+0.853±0.4)

[17], ,ハンズアップ(EX),Second Heaven,149,1:54,1052,強(+0.852±0.4)

[17], ,マダーロック(EX),Treasure Hoard,120,1:54,1225,強(+0.486±0.5)

[17], ,ロシア2(EX) ,レトロ男爵の嘆き,80～120,1:28,896,中(-0.257±0.6)

[18], ,オリエンタルフォークロア(EX),旗,132,1:58,1335,強(+0.751±0.4)

[18], ,年号ロック(EX),すわひでおのゴロゴロ年号覚え唄決定版,156,1:51,1188,中(+0.338±0.4)

