 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度

[2],,ネオアコ(EX),(fly higher than)the stars,154,1:28,845,中(-0.246±0.7)

[2], ,ヘビーメタル(H),I'm on Fire,150,1:30,790,詐称(+1.104±0.3)

[5], ,アニメヒロイン(EX),魔法の扉（スペース@マコのテーマ）,184,1:30,778,中(+0.326±0.5)

[5], ,パーカッシヴ(EX),西新宿清掃曲,140～280,1:44,624,強(+0.814±0.4)

[5], ,ヘヴィロック(EX),INNOVATION,160～170,1:51,911,中(-0.387±0.4)

[7], ,キョウゲキ(EX),加油！元気猿！,60～180,1:36,693,強(+0.713±0.3)

[7], ,スウェディッシュ(EX),カモミール・バスルーム,168,1:55,1009,中(-0.301±0.4)

[8], ,ヤキュウロック(EX),恋のキャッチボール,150,1:42,908,中(-0.046±0.5)

[8], ,ラウンジポップ(H),Linus,160～176,1:48,782,中(-0.086±0.5)

[8], ,レディメタル(EX),Over The Night,124,1:38,830,弱(-0.531±0.5)

[9], ,ウィンターダンス(EX),White Eve,125,1:52,1020,中(+0.172±0.4)

[9], ,オイパンク0(H),ブタパンチのテーマ,90～360,1:48,806,中(-0.285±0.8)

[9], ,カントリービーツ(EX),今日は今日でえがったなゃ,145,1:48,778,中(+0.326±0.4)

[10], ,カドルコア(EX),murmur twins (guitar pop ver.),174,1:53,906,強(+0.969±0.2)

[10], ,カラフルポップ(EX),Raspberry♥Heart,160,1:43,971,強(+0.961±0.2)

[10], ,グランヂデス(H),ULTRA BUTTERFLY（坤剛力）,140～175,2:03,1040,中(+0.204±0.5)

[10], ,DDR(H) ,DDR MEGAMIX,65～333,2:26,955,強(+0.989±0.3)

[11], ,イズモ(EX),E-TEN-RAKU,125,1:42,720,強(+0.562±0.4)

[11], ,大江戸カヨウ(EX),林檎夫人,130～206,1:57,999,中(+0.273±0.4)

[11], ,デスコラップ(EX),Nick RING,80～160,1:38,772,中(+0.227±0.4)

[11], ,ナンキョク(EX),クラゲータ,140,1:31,753,強(+0.408±0.6)

[12], ,キッズマーチ(EX),space merry-go-round,74～157,1:58,1030,強(+0.408±0.6)

[12], ,ゴエモン(EX),がんばれゴエモンメドレー,113～190,1:42,895,詐称(+1.095±0.2)

[12], ,セツブン(EX),お豆の哀歌,290,2:04,1015,強(+0.702±0.4)

[12], ,ヒップロック3(H),雪上断火,105～180,2:08,1140,強(+0.665±0.3)

[13], ,エレゴシックサバト(EX),Dar[k]wish,124,1:56,1022,中(-0.041±0.4)

[13], ,カーニバル(EX),ポップンカーニバルマーチ,143,1:56,893,強(+0.614±0.4)

[13], ,ジャングル・ゴーゴー(EX),キングモンキー,107～140,1:38,833,中(+0.385±0.5)

[13], ,シンフォニックメタルop.2(H),Sanctum Crusade,170～180,1:58,951,中(+0.258±0.6)

[13], ,トイブレークコア(EX),MARS WAR 3,200,1:52,884,中(+0.123±0.3)

[13], ,ハイパーマスカレード(EX),masquerade,240,1:58,1048,中(+0.181±0.5)

[13], ,メルト(EX),メルト,168,2:16,1031,中(+0.136±0.6)

[13], ,ラブリートランスポップ(EX),虹色,160,1:43,1045,強(+0.673±0.5)

[13], ,ロープレバトル(EX),バトル XIII,140～143,1:55,1000,強(+0.774±0.3)

[13], ,J-ハウスポップ(EX),太陽とバトル,130,2:13,1128,中(-0.338±0.5)

[13], ,SFポップ(EX),DAWN,135～142,1:50,989,弱(-0.444±0.6)

