 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[14], ,キャバレー(EX),マッシュな部屋,70,2:04,1029,強(+0.559±0.4)

[14], ,フィーバーロボ(H),踊るフィーバーロボ,160,1:42,949,強(+0.451±0.5)

[14], ,プログレッシブバロック(H),Übertreffen,174,1:34,797,中(+0.135±0.5)

[14], ,モンドロック(EX),CODENAME:APRIL,190,1:42,972,弱(-0.645±0.3)

[14], ,ロンリーフィール(EX),fragments,123,1:57,1006,弱(-0.905±0.4)

[15], ,ウォートラントゥルーパーズ(EX),ウォートラン・メインテーマ,140,1:53,970,中(-0.364±0.6)

[15], ,ガールフッド(EX),ロクブテ,178,1:44,956,中(-0.215±0.5)

[15], ,夏休み(EX),なつやすみのぼうけん,90～152,2:11,996,中(+0.250±0.6)

[15], ,超中華流行歌曲(EX),桃花恋情,185,2:01,1045,弱(-0.815±0.4)

[15], ,プロポーズREMIX(EX),ふたりのマニフェスト（Circle of the afternoon MIX),147～296,2:00,897,強(+0.581±0.5)

[16], ,ガールズオルタナティブ(EX),証,175,1:48,1077,中(-0.053±0.6)

[16], ,サイバーデジビート(EX),UNLIMITED,150,1:59,1127,中(+0.387±0.4)

[16], ,ジグREMIX(EX),Tir na n'Og(Europa GT Remix),220,1:48,1056,詐称(+1.042±0.3)

[16], ,シューゲイザー(H),chilblain,196,1:48,910,強(+0.562±0.5)

[16], ,彗星RAVE(EX),BI-BUN-SEKI-BUn,190,2:05,1302,中(-0.137±0.3)

[16], ,チアパラ(EX),3・2・1→Smile!,142,1:56,1026,強(+0.814±0.4)

[16], ,プログレッシブ(H),V,150,2:00,1134,中(+0.389±0.6)

[16], ,リトルロック(EX),Little Rock Overture,175,2:03,1227,強(+0.979±0.2)

[16], ,リンク(EX),空澄みの鵯と,230,1:41,1022,強(+0.698±0.3)

[16], ,J-テクノトランスREMIX(EX),Quick Master -Naked Trance Mix-,145,1:57,957,中(+0.388±0.4)

[17], ,キネマ2(EX),映画「ジェノヴァの空の下」のテーマ,62～101,1:55,841,中(+0.091±0.5)

[17], ,ギャラクシヴロック(EX),Polaris,180,1:49,991,弱(-0.581±0.7)

[17], ,シューティングフュージョン(EX),El Dorado,138,1:35,850,強(+0.724±0.2)

[17], ,スターヒーロー(EX),ボクモ、ワタシモ、ムービースター☆,150,1:54,1208,弱(-0.877±0.3)

[17], ,テクノちゃいるど(EX),わたしのパパはのうむだいじん,130,2:04,1105,中(-0.106±0.5)

[17], ,忍者メタル(H),背水之陣,164,2:02,1167,強(+0.705±0.3)

[17], ,ハードアクション(EX),COMMANDO,172,1:40,1024,強(+0.645±0.3)

[17], ,メタリックオペラ(H),Geiselhaus,90～180,1:48,925,強(+0.623±0.4)

[17], ,和算テクノ(EX),ZIN・DEN・GO,160,1:46,997,中(+0.318±0.4)

[18], ,荒波演歌(EX),しまなみ海道男道,80～150,1:53,826,強(+0.478±0.5)

[18], ,オリエンタルミソロジー(H),蛇神,170,2:02,912,中(+0.265±0.6)

[18], ,じょんがらスピリチュアル(EX),TSUGARU,165,1:32,881,中(-0.137±0.5)

[18], ,チップンロール(EX),青春ピコピコRock'n Roll,160,2:04,1198,弱(-0.865±0.2)

[18], ,万葉歌(EX),防人恋歌,170,1:53,1071,強(+0.424±0.5)

[18], ,レクリスレイヴ(EX),GOLD RUSH(pop'n GOLD MOUNTAIN rush),162,1:35,882,強(+0.717±0.4)

[18], ,A.I.デイトポップ(EX),隅田川夏恋歌,180,1:50,1059,中(+0.230±0.6)

[18], ,NUスタイルロカビリー(EX),Electronic or Treat!,190,1:42,1043,強(+0.721±0.4)

[19], ,アシッドジャズ(EX),Reaching for the Stars,188,2:06,1224,強(+0.749±0.4)

[19], ,アメポップ(EX),Last of “I Love You”,180,1:51,1279,中(+0.172±0.4)

[19], ,キャンディレイヴ(EX),smooooch・∀・,177,1:52,1134,強(+0.466±0.5)

[19], ,ストリートチューン(EX),探検ノート(Street Style),284,1:49,1169,中(+0.194±0.4)

[19], ,テクノカヨウREMIX(EX),うるとら★ボーイ NAUGHTY BOY remix,150,1:44,900,中(+0.193±0.5)

[19], ,胸キュン☆マレット(EX),キセキはじまり☆,168,1:41,1015,中(+0.183±0.6)

[19], ,モダンパンク(H),夢について TYPE C,148,1:35,831,強(+0.694±0.5)

[19], ,J-ネクストポップ(EX),～Timeless～,144,1:48,1051,強(+0.713±0.3)

[20], ,ウルトラ90’s(EX),ノー！ノー！Way,124,1:38,948,中(-0.144±0.4)

[20], ,エピローグ(EX),そして世界は音楽に満ちた,65～146,1:59,957,強(+0.774±0.4)

[20], ,チュリースユーロ(EX),マジヤバ最強伝説,158,1:51,1065,中(+0.245±0.4)

[20], ,トゥインクルポップ(EX),Twinkle Wonderland,188,1:38,974,弱(-0.580±0.5)

[20], ,トラディショナルルーツ(EX),荒城メランコリー,150,2:03,1020,中(-0.041±0.6)

[20], ,ノマディックネイション(H),カラルの月,135,1:56,833,強(+0.645±0.5)

[SP], ,アートコア(H),Valanga,186,1:54,1037,強(+0.754±0.4)

[SP],[版],天ノ弱(EX),天ノ弱,200～205,1:50,1122,強(+0.645±0.4)

[SP], ,アンビション ポプコネ(EX),existence(エレクトロポップン!MIX),150,1:58,1115,中(-0.338±0.4)

[SP], ,ウィザウチュナイ(EX),Brand New World,157,1:55,1105,中(-0.046±0.5)

[SP], ,ウィザウチュナイ-ツヴァイ-(EX),Survival Games,152,1:45,1007,中(+0.097±0.4)

[SP], ,ウィザウチュナイ-クアトロ-(EX),Wow Wow VENUS,157,2:00,1176,中(-0.193±0.4)

[SP], ,エンジェリオン(H),生命の環を紡いで,105〜172,2:14,1103,強(+0.979±0.3)

[SP], ,オリエンタルコア(EX),The Wind of Gold,170,1:47,974,中(-0.123±0.4)

[SP], ,C18H27NO3(H),C18H27NO3,210,2:00,1116,中(-0.181±0.5)

[SP], ,くりむ童話2(EX),去る金合戦,164,1:38,893,弱(-0.688±0.3)

[SP], ,スピードダンス(H),GAIA,180,2:04,948,中(-0.043±0.4)

[SP], ,想歌 梅(EX),梅雪夜,167,1:47,988,中(-0.065±0.6)

[SP], ,ディーヴァポップ(EX),LUV×REVO,181,1:43,1136,強(+0.989±0.4)

[SP], ,ハードルネッサンス3(H),JOMANDA,90～300,2:05,1050,強(+0.796±0.3)

[SP], ,ラッキーテクノ(EX),ラキラキ,165,1:43,931,強(+0.814±0.3)

[SP], ,ワラベステップ(H),コドモライブ,140～146,1:49,987,中(+0.166±0.5)

[SP], ,EDM(EX),Into UR Heart,140,2:02,1101,中(+0.156±0.4)

[LT], ,アマイヒミツ(EX),アマイヒミツ,150,2:06,1031,中(+0.211±0.6)

[LT], ,うさぬこぬんぬんファンタジー！(EX),うさぬこぬんぬんファンタジー！,160,1:55,1184,強(+0.518±0.5)

[LT], ,運命のパラドックス(EX),運命のパラドックス,190,2:01,1150,中(+0.123±0.6)

[LT], ,つぼみ(EX),つぼみ,184,1:39,1001,中(-0.183±0.5)

[LT],[版],恋愛勇者(EX),恋愛勇者,190,1:43,1007,弱(-0.510±0.4)

[LT], ,Bloody Mary(EX),Bloody Mary,186,1:57,1136,中(-0.366±0.6)

[LT], ,Chronoxia(H),Chronoxia,180,1:54,939,中(+0.227±0.5)

[LT], ,Idola(H),Idola,201,2:03,1036,中(+0.227±0.4)

[LT], ,In The Breeze(EX),In The Breeze,123～142,1:41,835,中(-0.204±0.5)

[LT], ,Realize Maze(EX),Realize Maze,149,2:05,1122,中(+0.029±0.4)

[LT], ,The Sign Of Collapse(EX),The Sign Of Collapse,126,1:58,1102,中(+0.241±0.4)

[écl], ,桜色のメロディー(EX),桜色のメロディー,88～200,1:51,935,中(-0.027±0.5)

[écl], ,天体カレイドスコープ(EX),天体カレイドスコープ,194,2:00,1119,強(+0.678±0.4)

[écl], ,ノンストップ☆イレーション(EX),ノンストップ☆イレーション,196,1:57,1053,中(+0.169±0.6)

[écl], ,albedo(EX),albedo,190,1:37,978,弱(-0.411±0.4)

[écl], ,Link of Chain(EX),Link of Chain,160,1:57,1109,弱(-0.564±0.4)

[écl], ,Ophelia(EX),Ophelia,165,1:59,1177,弱(-0.501±0.5)

[écl], ,SYMPHONY FROM ZERO(H),SYMPHONY FROM ZERO,210,1:56,928,強(+0.550±0.6)

[écl], ,Trixxxter(H),Trixxxter,180,1:54,960,中(+0.198±0.6)

[うさ], ,人妖絵巻其の一「狐」～ 紅楼ノ夢 ～(EX),人妖絵巻其の一「狐」～ 紅楼ノ夢～,190,2:02,1140,強(+0.544±0.4)

[うさ],[版],恋のパズルマジック(EX),恋のパズルマジック,140,1:37,1024,中(-0.376±0.4)

[うさ], ,天才少女が解けない問題(EX),天才少女が解けない問題,140,1:51,1043,中(-0.175±0.7)

[うさ], ,ナイト・オブ・ロンド(EX),ナイト・オブ・ロンド,169,1:35,897,強(+0.747±0.4)

[うさ], ,バイナリスター(EX),バイナリスター,135,1:55,1111,弱(-0.457±0.5)

[うさ], ,ヒミツダイヤル(EX),ヒミツダイヤル,112,1:55,1025,弱(-0.751±0.4)

[うさ], ,リリーゼと炎龍レーヴァテイン(H),リリーゼと炎龍レーヴァテイン,200,1:48,1018,強(+0.491±0.5)

[うさ],[版],ロールプレイングゲーム(EX),ロールプレイングゲーム,162,1:54,1026,弱(-0.632±0.6)

[うさ],[版],Bitter Myself(EX),Bitter Myself,148,1:56,903,弱(-0.589±0.5)

[うさ], ,FLOWER FLOWER WORLD(EX),FLOWER FLOWER WORLD,74～80,1:54,853,中(+0.006±0.7)

[うさ],[版],Help me ERINNNNNN!! -VENUS mix-(EX),"Help me, ERINNNNNN!! -VENUS mix-",183,2:39,1433,中(+0.251±0.6)

[うさ], ,Life is beautiful(H),Life is beautiful,155,2:02,916,強(+0.744±0.5)

[うさ], ,moon_child(H),moon_child,130～160,2:08,972,強(+0.748±0.5)

[うさ], ,SailRen(H),SailRen,194～204,2:06,843,中(-0.145±0.6)

[pe],[版],或る街のギギ(EX),或る街のギギ,115,2:01,1085,弱(-0.650±0.5)

[pe], ,いつまでやったって、別にいいじゃない！？(EX),いつまでやったって、別にいいじゃない！？,171,1:56,1086,強(+0.850±0.6)

[pe], ,ウラ・パーカッシヴ(EX),西新宿清掃曲,140～280,1:45,726,強(+0.997±0.4)

[pe], ,オトメ聖戦タクティクス(EX),オトメ聖戦タクティクス,135,2:04,1097,中(+0.092±0.4)

[pe],[版],おねがいダーリン(EX),おねがいダーリン,180,2:00,1208,中(-0.142±0.6)

[pe], ,おめでとう！おたんじょうび(EX),おめでとう！おたんじょうび,160,2:00,1032,強(+0.847±0.3)

[pe], ,コアダストビート(UPPER)(H),真超深TION,177,1:56,1025,中(-0.065±0.7)

[pe], ,逆さま♥シンデレラパレード(EX),逆さま♥シンデレラパレード,135, ,958,強(+0.424±0.5)

[pe], ,至上のラトゥーリア(EX),至上のラトゥーリア,135, ,1021,中(+0.037±0.4)

[pe], ,白露の風(EX),白露の風,166, ,1040,中(-0.196±0.5)

[pe], ,多極性ニューロンの崩壊による人間の末路(H),多極性ニューロンの崩壊による人間の末路,165,1:50,935,強(+0.767±0.4)

[pe], ,飛べないぼくと鳴かない黒猫(EX),飛べないぼくと鳴かない黒猫,120,2:00,952,弱(-0.679±0.4)

[pe], ,トランスコア(UPPER)(H),FLOWER,173,2:00,1019,中(+0.194±0.5)

[pe], ,ポチコの幸せな日常 (狂犬U`x´UばうわうHARDCORE Remix)(H),ポチコの幸せな日常 (狂犬U`x´UばうわうHARDCORE Remix),210,2:00,1048,強(+0.775±0.5)

[pe],[版],ホロウダンス(EX),ホロウダンス,191,2:08,1151,中(+0.314±0.4)

[pe], ,ラメント(UPPER)(H),雫,95-210,2:03,1114,中(+0.204±0.4)

[pe], ,令和の国(H),令和の国,176,1:52,978,中(-0.041±0.4)

[pe], ,25 o’clock the WORLD(H),25 o’clock the WORLD,52～210,2:01,1084,強(+0.881±0.5)

[pe], ,BabeL 〜MODEL DD101～(H),BabeL 〜MODEL DD101～,180,1:53,968,強(+0.640±0.3)

[pe], ,"le mal du pays, numéro 1(EX)","le mal du pays, numéro 1",170,2:04,1029,中(+0.058±0.3)

[pe],[版],luck(EX),luck,80～121,1:52,899,中(-0.200±0.7)

[pe], ,station CRUX(EX),station CRUX,152,2:06,1125,中(+0.114±0.6)

[pe], ,Trill auf G(H),Trill auf G,188,1:54,913,中(+0.288±0.7)

[pe], ,Vinculum stellarum(H),Vinculum stellarum,160,2:13,995,強(+0.618±0.6)

[pe], ,voltississimo(H),voltississimo,225,1:55,1057,強(+0.941±0.5)

[解], ,朧月覆う雲をも裂きぬ(H),朧月覆う雲をも裂きぬ,192, ,1019,強(+0.667±0.5)

[解], ,ここからよろしく大作戦143(EX),ここからよろしく大作戦143,184, ,1116,中(+0.347±0.5)

[解], ,鎬(H) ,鎬,134～185, ,1074,弱(-0.567±0.7)

[解], ,世界の果てに約束の凱歌を -Advent-(H),世界の果てに約束の凱歌を -Advent-,70～210, ,1018,強(+0.800±0.4)

[解], ,Brand New...(EX),Brand New…,156, ,1046,中(+0.053±0.5)

[解], ,DUAL STRIKER(H),DUAL STRIKER,185, ,1003,強(+0.775±0.6)

[解],[版],I believe what you said(EX),I believe what you said,138, ,901,強(+0.814±0.6)

[解], ,IDM(UPPER)(H),ZETA～素数の世界と超越者～,90～180,2:05,961,中(-0.369±0.7)

[解],[版],Keep the Faith(EX),Keep the Faith,132, ,1005,弱(-0.750±0.4)

[解], ,Leaf(H),Leaf,150, ,1022,中(+0.000±0.5)

[解], ,Mel(EX),Mel,178, ,1069,弱(-0.650±0.4)

[解], ,Mystery of my life(EX),Mystery of my life,135, ,1005,弱(-0.525±0.5)

[解], ,Northern Cross(H),Northern Cross,155, ,1077,中(-0.291±0.5)

[解], ,Raison d'être～交差する宿命～(H),Raison d'être～交差する宿命～,155～175, ,1021,強(+0.600±0.3)

[解], ,Revived After Ruined Shine(H),Revived After Ruined Shine,225, ,939,詐称(+1.005±0.4)

[解], ,smile(H),smile,188, ,1053,強(+0.400±0.5)

[解], ,Surf on the Light(EX),Surf on the Light,60～160, ,1051,中(-0.225±0.4)

[解], ,Triple Cross(H),Triple Cross,196, ,1006,中(-0.167±0.5)

[UL],[版],エゴロック(EX),エゴロック,225, ,1180,中(-0.141±0.5)

[UL], ,革命パッショネイト(UPPER)(H),革命パッショネイト,194,1:59,1072,中(-0.211±0.4)

[UL], ,マダーロック(UPPER)(H),Treasure Hoard,120,1:54,1072,強(+0.400±0.6)

[UL], ,萌えおこし電波ソング(UPPER)(H),めうめうぺったんたん！！,185,2:00,1155,中(-0.380±0.5)

[CS7], ,スムース(EX),ATTITUDE,112,1:30,637,強(+0.501±0.5)

[CS9], ,トゥイート(EX),うぐいす,160,1:51,850,強(+0.774±0.3)

[CS12], ,必殺スパイ(EX),お仕置き忍のテーマ,120～153,1:58,1041,中(-0.097±0.4)

[CS13], ,ジュエリーロック(EX),jewelry girl*,173,1:54,986,中(-0.388±0.6)

[PMP2], ,カグランジ(H),生きてこそ,127,2:10,1040,強(+0.667±0.4)

[ee], ,ガァバホップ(EX),説,170,1:50,994,中(+0.091±0.6)

[ee], ,スウィング歌謡(EX),花見で一杯,96～208,1:50,873,中(+0.338±0.5)

[ee], ,ビートロック(EX),memories,187,2:00,1093,中(+0.344±0.4)

[ee], ,ブラスロック(EX),三毛猫ロック,246～250,1:37,838,中(+0.137±0.3)

[ee], ,メロパンク2(EX),lime-light,180,1:41,819,中(+0.091±0.6)

[ee2], ,イーラップ2(EX),PinkyNick,169～189,1:45,770,中(+0.318±0.5)

[ee2], ,エクスペリメントラップ(EX),old“O”,185,1:54,872,中(+0.273±0.4)

[ee2], ,グラディウスII(EX),A SHOOTING STAR,140,1:34,853,強(+0.494±0.4)

[ee2], ,ネオクラシカル・ヘヴィメタル(EX),Aithon,126,1:46,995,強(+0.623±0.4)

[ee2], ,プログレ(EX),子供の落書き帳,280,1:30,673,中(+0.388±0.4)

[ee2], ,ボーイズポップ(EX),mind,146,1:57,1149,中(+0.215±0.4)

[ee2], ,祭(EX),祭JAPAN,180,1:36,764,弱(-0.834±0.4)

