 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[SP], ,あさきの刺激ロック(EX),鳥無き島にて,126,1:56,1171,中(+0.021±0.7)

[SP], ,エモーショナルデュオ(EX),カタルシスの月,200,1:54,1320,中(+0.377±0.5)

[SP], ,オービタリックレボリューション(EX),Synergy For Angels,160,1:57,1282,中(-0.227±0.6)

[SP], ,カラーフュージョン(EX),Riot of Color,150,1:49,1131,中(+0.010±0.7)

[SP], ,シンフォノベーティブロック(EX),Stella Sinistra,120～180,2:00,1136,中(+0.048±0.7)

[SP], ,スウィングラテ(EX),coffee break,186,1:50,951,中(-0.144±0.7)

[SP], ,青春剛速球メタル(EX),マインド・ゲーム,180,1:57,1120,中(+0.215±0.8)

[SP], ,超恋愛☆エクストリーム・ガール(EX),超恋愛☆エクストリーム・ガール,196,1:44,1306,強(+0.649±0.4)

[SP], ,ハイコア(EX),†渚の小悪魔ラヴリィ～レイディオ†,190,1:50,1321,中(+0.313±0.6)

[SP], ,ハイνブリープ(EX),キャトられ♥恋はモ～モク,196,2:11,1403,強(+0.665±0.5)

[SP], ,ハッピーサッドコア(EX),Engraved Mark,188,1:52,1239,強(+0.696±0.5)

[SP], ,ビッグビート(EX),HYENA,178,2:00,1249,中(-0.010±0.7)

[SP], ,ブルームフュージョン(EX),アルストロメリア,144,2:05,1303,強(+0.585±0.5)

[SP], ,萌えおこし電波ソング(EX),めうめうぺったんたん!!,185,2:00,1530,強(+0.840±0.4)

[SP], ,ヨーロピアンブレイクコア(EX),Les Vague,100～180,2:01,1238,強(+0.614±0.6)

[SP], ,ラッキーハードコア(EX),Daily Lunch Special,205,2:07,1383,強(+0.738±0.4)

[SP], ,浪漫歌謡(EX),滅びに至るエランプシス,158,1:53,1266,弱(-0.890±0.5)

[SP], ,わんわんコア(EX),ポチコの幸せな日常,192,2:00,1281,中(-0.046±0.7)

[LT], ,蒼い弓箭(EX),蒼い弓箭,164,1:53,1135,弱(-0.669±0.6)

[LT], ,朱と碧のランページ(EX),朱と碧のランページ,178,2:00,1324,弱(-0.485±0.6)

[LT], ,憂恋☆アクティベーション(EX),憂恋☆アクティベーション,150,1:56,1233,弱(-0.706±0.6)

[LT], ,黒点(EX),黒点,154,2:00,1322,強(+0.570±0.5)

[LT], ,水月鏡花のコノテーション(EX),水月鏡花のコノテーション,185,2:00,1295,中(-0.093±0.6)

[LT], ,零と弌の鍵の唄(EX),零と弌の鍵の唄,178,1:57,1211,中(+0.285±0.5)

[LT],[版],千年ノ理(EX),千年ノ理,153,1:55,1233,強(+0.696±0.7)

[LT], ,√太陽系◎ドーナツ化計画∞∀∞(EX),√太陽系◎ドーナツ化計画∞∀∞,190,1:56,1213,中(+0.019±0.7)

[LT], ,徹頭徹尾 Thrive at Perfect Fourth(EX),徹頭徹尾 Thrive at Perfect Fourth,178,1:48,1197,強(+0.636±0.5)

[LT], ,ほしのつくりかた(EX),ほしのつくりかた,180,1:27,986,強(+0.628±0.6)

[LT], ,曼珠沙華(EX),曼珠沙華,91～182,1:49,1214,強(+0.565±0.4)

[LT], ,乱れた風紀に天罰を(EX),乱れた風紀に天罰を,190～250,1:40,1065,強(+0.595±0.6)

[LT], ,ラピストリアの約束(EX),ラピストリアの約束,186,1:48,1215,弱(-0.941±0.4)

[LT], ,532nm(EX),532nm,177,1:35,1088,中(+0.392±0.5)

[LT], ,Dimension Gale(EX),Dimension Gale,155,1:58,1212,中(-0.377±0.6)

[LT], ,EBONY & IVORY(EX),EBONY & IVORY,170,1:39,1020,中(-0.060±0.7)

[LT],[版],Struggle(EX),Struggle,180,1:55,1084,中(-0.131±0.7)

[LT], ,Symsonic Breeze(EX),Symsonic Breeze,170,1:49,1134,中(-0.058±0.6)

[LT], ,TOXIC VIBRATION(EX),TOXIC VIBRATION,197,2:03,1271,中(-0.237±0.7)

[écl], ,蒼が消えるとき(EX),蒼が消えるとき,162,2:05,1232,強(+0.740±0.4)

[écl], ,怒りと共に去りぬ！！(EX),怒りと共に去りぬ！！,190,1:45,1190,中(+0.283±0.7)

[écl], ,地方創生☆チクワクティクス(EX),地方創生☆チクワクティクス,170,1:40,1179,強(+0.796±0.4)

[écl],[版],チルノのパーフェクトさんすう教室(EX),チルノのパーフェクトさんすう教室,175,2:01,1263,中(-0.065±0.6)

[écl], ,巻寿司戦隊ウマイヤン ～コードネームはグリーン～(EX),巻寿司戦隊ウマイヤン ～コードネームはグリーン～,172,2:12,1307,中(+0.199±0.7)

[écl], ,3 A.M. ディテクティブ・ゲーム(EX),3 A.M. ディテクティブ・ゲーム,162,2:00,1183,強(+0.493±0.6)

[écl], ,Angelic Jelly(EX),Angelic Jelly,200,1:55,1228,強(+0.685±0.7)

[écl], ,beat it together(EX),beat it together,135,2:02,1130,中(-0.055±0.6)

[écl], ,HADROS GALE(EX),HADROS GALE,168,2:01,1167,中(-0.154±0.4)

[écl], ,INHERITANCE of WILL(EX),INHERITANCE of WILL,184,2:01,1238,強(+0.541±0.6)

[écl], ,On top of the world(EX),On top of the world,280,1:57,1386,強(+0.732±0.5)

[écl], ,Scarlet Pinheel(EX),Scarlet Pinheel,172,1:50,1138,中(-0.388±0.7)

[écl], ,"""Schall"" we step?(EX)",“Schall” we step?,178,2:05,1213,強(+0.475±0.7)

[écl], ,SPEED KING ON FIRE(EX),SPEED KING ON FIRE,130,1:59,1155,中(-0.341±0.7)

[écl], ,Sweet Sweet Sweet.(EX),"Sweet,Sweet,Sweet.",205,1:56,1239,弱(-0.580±0.7)

[écl], ,Windy Fairy(EX),Windy Fairy,180,2:00,1119,中(+0.000±0.7)

[écl], ,ZEPHYRANTHES(EX),ZEPHYRANTHES,180,2:01,1284,中(+0.355±0.6)

[うさ], ,哀彩(EX),哀彩,194,1:48,1266,強(+0.778±0.5)

[うさ], ,アルレシャ(EX),アルレシャ,200,1:45,1124,中(-0.247±0.4)

[うさ], ,空想モダニズム(EX),空想モダニズム,188,1:56,1232,中(+0.341±0.7)

[うさ], ,玄兎ノ舞(EX),玄兎ノ舞,180,1:52,1209,強(+0.455±0.4)

[うさ], ,ゴールデンハート ft. Kimberley Nutbey(EX),ゴールデンハート ft. Kimberley Nutbey,163,1:54,1261,強(+0.481±0.7)

[うさ], ,人妖絵巻其の二「鬼」～夜叉の祭は終夜～(EX),人妖絵巻其の二「鬼」～夜叉の祭は終夜～,165,1:58,1269,中(-0.288±0.7)

[うさ], ,そこはかとなくロマンセ(EX),そこはかとなくロマンセ,140,1:42,1028,弱(-0.503±0.7)

[うさ], ,魂依(EX),魂依,153,1:49,1123,強(+0.407±0.4)

[うさ],[版],取り残された美術(Arranged:HiZuMi)(EX),取り残された美術(Arranged:HiZuMi),160,1:42,1121,中(-0.328±0.7)

[うさ], ,懐色坂(EX),懐色坂,155,1:54,1067,強(+0.499±0.6)

[うさ], ,旗(Mystic Mix)(EX),旗(Mystic Mix),160,2:00,1208,強(+0.763±0.5)

[うさ], ,星屑ブレスレット(EX),星屑ブレスレット,179,1:46,1014,弱(-0.473±0.7)

[うさ], ,ミラクル・スイート・スイーツ・マジック！！(EX),ミラクル・スイート・スイーツ・マジック！！,88～206,1:55,1276,中(+0.011±0.6)

[うさ],[版],六兆年と一夜物語(EX),六兆年と一夜物語,115～186,1:46,1034,弱(-0.678±0.6)

[うさ], ,Akash(EX),Akash,147,1:46,1002,中(-0.177±0.6)

[うさ], ,Arcanos(EX),Arcanos,96,1:48,1111,強(+0.620±0.4)

[うさ], ,CARNIVOROUS(EX),CARNIVOROUS,170,1:46,1149,中(+0.086±0.7)

[うさ], ,Chaos:Q(H),Chaos:Q,100〜402,2:05,1074,強(+0.966±0.4)

[うさ], ,Drizzly Venom(EX),Drizzly Venom,147～168,1:53,1088,強(+0.405±0.6)

[うさ], ,Fly far bounce(EX),Fly far bounce,91～163,1:44,941,中(-0.250±0.8)

[うさ], ,LOTUS(EX),LOTUS,160,2:03,1218,中(-0.103±0.7)

[うさ], ,nalca(EX),nalca,136,1:52,1170,強(+0.797±0.5)

[うさ], ,Over Da Moon(EX),Over Da Moon,145,2:00,1233,中(-0.193±0.6)

[うさ], ,Pacify(EX),Pacify,175,2:02,1185,中(+0.097±0.6)

[うさ], ,Phlox(EX),Phlox,185,1:52,1361,中(+0.144±0.6)

[うさ],[版],Strawberry Chu♡Chu♡(EX),Strawberry Chu♡‬Chu♡‬,274,1:50,1205,中(-0.088±0.7)

[うさ], ,SUPER SUMMER SALE(EX),SUPER SUMMER SALE,155,1:59,1232,中(+0.240±0.6)

[pe],[版],一触即発☆禅ガール(EX),一触即発☆禅ガール,190,1:29,1066,強(+0.720±0.4)

[pe], ,ウラ・バリトランス(EX),Dempasar,135,1:40,1000,弱(-0.586±0.6)

[pe], ,おーまい！らぶりー！すうぃーてぃ！だーりん！(EX),おーまい！らぶりー！すうぃーてぃ！だーりん！,170,2:00,1261,強(+0.790±0.6)

