 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[SP], ,ゾディアックオラクル1(EX),ストレイ・マーチ,180,2:06,1489,中(+0.000±0.6)
[SP], ,大宇宙の法典(EX),天庭 おとこのこ編,209,2:13,1526,中(-0.353±0.5)
[SP], ,ドラムンコアダスト(EX),Mynarco,181,1:45,1249,強(+0.979±0.4)
[SP], ,ハイブリープ(EX),恋する☆宇宙戦争っ!!,200,2:03,1470,中(-0.229±0.6)
[SP], ,ハッピー(EX),quaver♪,182～186,1:48,1352,強(+0.499±0.5)
[SP], ,ハッピーハードコア(EX),I'm so Happy,181,1:37,1056,弱(-0.533±0.6)
[SP], ,ポップミュージック(EX),うた,220,1:59,1430,強(+0.638±0.5)
[SP], ,ませまてぃっく♥ま＋ま＝まじっく！(EX),ませまてぃっく♥ま×ま＝まじっく！,192,1:51,1355,強(+0.420±0.5)
[SP], ,メイドメタル(EX),ホーンテッド★メイドランチ,188,1:55,1499,強(+0.650±0.4)
[LT], ,暴レ焔(EX),暴レ焔,164,1:52,1249,中(+0.028±0.5)
[LT], ,乙女繚乱 舞い咲き誇れ(EX),乙女繚乱 舞い咲き誇れ,210,2:01,1289,弱(-0.430±0.6)
[LT], ,彼女は快刀乱麻(EX),彼女は快刀乱麻,169,2:02,1334,中(+0.034±0.6)
[LT], ,煌-灼熱の裁き-(EX),煌-灼熱の裁き-,202,2:02,1390,中(-0.274±0.5)
[LT], ,地の記 獄編(EX),地の記 獄編,174,1:54,1199,弱(-0.419±0.7)
[LT], ,猫侍の逆襲(EX),猫侍の逆襲,152,1:53,1233,強(+0.940±0.4)
[LT],[版],バンブーソード・ガール(EX),バンブーソード・ガール,208,1:50,1313,中(+0.379±0.6)
[LT], ,ムーニャポヨポヨスッポコニャーゴ(EX),ムーニャポヨポヨスッポコニャーゴ,180,1:52,1333,中(+0.009±0.5)
[LT], ,龍と少女とデコヒーレンス(EX),龍と少女とデコヒーレンス,165,2:00,1333,中(+0.115±0.6)
[LT], ,8000000(EX),8000000,200,1:56,1285,中(-0.322±0.6)
[LT], ,Cleopatrysm(EX),Cleopatrysm,190,1:52,1174,弱(-0.477±0.5)
[LT], ,Habits(EX),Habits,162,1:58,1222,弱(-0.497±0.6)
[LT], ,Hatcha Metcha Party(EX),Hatcha Metcha Party,200,2:01,1318,中(-0.347±0.5)
[LT], ,ice crystals(EX),ice crystals,185,1:35,1048,中(-0.088±0.6)
[LT], ,INFINITY(EX),INFINITY,172,1:55,1294,中(+0.020±0.6)
[LT], ,NINE PIECE(EX),NINE PIECE,140〜168,1:50,1304,中(+0.188±0.5)
[LT], ,Peragro(EX),Peragro,190,1:38,1266,弱(-0.688±0.5)
[LT],[版],Russian Caravan Rhapsody(EX),Russian Caravan Rhapsody,158,1:53,1226,中(+0.277±0.5)
[LT], ,Versa(EX),Versa,90〜180,1:56,1301,中(+0.262±0.6)
[écl], ,在るが儘に(EX),在るが儘に,181,1:57,1455,強(+0.953±0.4)
[écl], ,エキサイティング！！も・ちゃ・ちゃ☆(EX),エキサイティング！！も・ちゃ・ちゃ☆,187,1:58,1391,強(+0.595±0.4)
[écl], ,黒髪乱れし修羅となりて～凛 edition～(EX),黒髪乱れし修羅となりて～凛 edition～,150,2:01,1465,強(+0.724±0.5)
[écl], ,コルトーン(EX),コルトーン,168～182,2:00,1278,中(-0.136±0.5)
[écl], ,サケビノミドリ(EX),サケビノミドリ,160,2:03,1250,中(+0.067±0.5)
[écl], ,ジオメトリック∮ティーパーティー(H),ジオメトリック∮ティーパーティー,132～188,2:09,1088,中(-0.027±0.7)
[écl], ,漆黒のスペシャルプリンセスサンデー(EX),漆黒のスペシャルプリンセスサンデー,200,2:02,1368,弱(-0.647±0.5)
[écl], ,造花の貌(EX),造花の貌,200,1:56,1326,中(+0.218±0.5)
[écl], ,デュスノミア(EX),デュスノミア,143,1:48,1125,弱(-0.494±0.5)
[écl], ,僕らの旅はどこまでも(EX),僕らの旅はどこまでも,110～220,2:02,1164,中(+0.133±0.5)
[écl], ,凛として咲く花の如く ～ひなビタ♪ edition～(EX),凛として咲く花の如く ～ひなビタ♪ edition～,163,2:05,1389,弱(-0.541±0.6)
[écl], ,ACCELERATION(EX),ACCELERATION,175,1:55,1192,中(+0.353±0.7)
[écl], ,Caradbolg(EX),Caradbolg,110～196,1:59,1456,中(+0.317±0.5)
[écl], ,El venenciador(EX),El venenciador,156～162,1:57,1214,中(+0.156±0.5)
[écl], ,Fate No.23(EX),Fate No.23,195,1:56,1293,強(+0.419±0.5)
[écl], ,ON-DO(EX),ON-DO,210,1:46,1164,強(+0.437±0.7)
[écl], ,popcorn parade(EX),popcorn parade,70～168,2:00,1279,中(+0.149±0.6)
[écl], ,Reconsideration(EX),Reconsideration,150,1:59,1281,中(-0.388±0.4)
[うさ], ,キルト(Patchworker RMX)(EX),キルト(Patchworker RMX),188,1:50,1289,中(+0.052±0.4)
[うさ], ,けもののおうじゃ★めうめう(EX),けもののおうじゃ★めうめう,162,1:49,1323,弱(-0.634±0.5)
[うさ], ,乞い祈みの撫子(EX),乞い祈みの撫子,176,1:57,1193,強(+0.417±0.5)
[うさ], ,銃弾は解を撃ち抜いて(EX),銃弾は解を撃ち抜いて,171,2:03,1326,弱(-0.776±0.5)
[うさ], ,如雨露姫が世界征服(EX),如雨露姫が世界征服,125,1:54,1229,弱(-0.813±0.4)
[うさ],[版],ほおずき程度には赤い頭髪(EX),ほおずき程度には赤い頭髪,174,1:58,1414,強(+0.631±0.5)
[うさ], ,メンテナンス物語(EX),メンテナンス物語,152,2:00,1219,弱(-0.679±0.4)
[うさ], ,黎明スケッチブック(EX),黎明スケッチブック,238,2:00,1172,弱(-0.585±0.5)
[うさ], ,BILLION MONEY BAZOOKA(EX),BILLION MONEY BAZOOKA,176,1:57,1384,強(+0.912±0.3)
[うさ], ,Dance to Blue (Respect Style)(EX),Dance to Blue (Respect Style),162,1:43,1141,強(+0.912±0.4)
[うさ], ,I just hate you(EX),I just hate you,165,1:56,1453,中(+0.179±0.6)
[うさ], ,Jack in the Box(EX),Jack in the Box,250,1:51,1387,弱(-0.502±0.5)
[うさ], ,La Lumiere(EX),La Lumiere,175,1:49,1062,強(+0.629±0.4)
[うさ], ,Monkshood(EX),Monkshood,170,1:55,1166,中(-0.096±0.5)
[うさ], ,Mychronicle(EX),Mychronicle,170,1:53,1221,中(+0.000±0.6)
[うさ], ,nostos(EX),nostos,86～144,2:12,1297,強(+0.797±0.5)
[うさ], ,Nove Primavere(EX),Nove Primavere,67～277,2:00,1233,中(+0.211±0.7)
[うさ], ,SPACE CRASH LANDING(EX),SPACE CRASH LANDING,184,1:46,1136,中(-0.133±0.6)
[うさ], ,Spiral Clouds(EX),Spiral Clouds,155,1:55,1273,中(+0.386±0.6)
[うさ], ,STERLING SILVER(EX),STERLING SILVER,175,1:54,1281,中(-0.308±0.6)
[うさ], ,The last of world music(EX),The last of world music,255,2:04,1324,強(+0.778±0.5)
[うさ], ,TRUTH behind U(EX),TRUTH behind U,121,1:49,1240,中(-0.032±0.7)
[うさ], ,virtual killer(EX),virtual killer,170,1:54,1291,中(-0.086±0.7)
[pe], ,焔華(EX),焔華,160,2:17,1314,強(+0.701±0.4)
[pe], ,革命パッショネイト(EX),革命パッショネイト,194,1:59,1338,弱(-0.530±0.6)
[pe], ,カドルコア(EX),murmur twins,174,1:53,1228,強(+0.944±0.5)
[pe], ,元禄花吹雪(EX),元禄花吹雪,170, ,1066,強(+0.710±0.4)
[pe], ,ナンキョク(UPPER)(EX),クラゲータ,140,1:30,1024,強(+0.592±0.4)
[pe], ,ハイパーロッケンローレ(UPPER)(EX),エイプリルフールの唄,179,1:57,1467,中(-0.227±0.6)
[pe], ,叛逆のディスパレート(EX),叛逆のディスパレート,194, ,1205,弱(-0.428±0.6)
[pe], ,放課後コンチェルティーノ～私だけの部室狂騒曲(EX),放課後コンチェルティーノ～私だけの部室狂騒曲,190～208, ,1291,強(+0.473±0.4)
[pe], ,六花美人(EX),六花美人,169,2:09,1260,強(+0.693±0.5)
[pe], ,50th Memorial Songs -The BEMANI History-(EX),50th Memorial Songs -The BEMANI History-,136,1:53,1215,強(+0.948±0.4)
[pe], ,BLAZE∞BREEZE(EX),BLAZE∞BREEZE,175,2:00,1268,弱(-0.509±0.6)
[pe], ,Catch Our Fire!(EX),Catch Our Fire!,190,2:00,1307,弱(-0.534±0.5)
[pe],[版],Floccinaucinihilipilification(EX),Floccinaucinihilipilification,200,1:57,1223,中(-0.179±0.6)
[pe], ,Invisible Farewell(EX),Invisible Farewell,138～234,2:05,1406,中(-0.365±0.5)
[pe], ,Jetcoaster Windy(EX),Jetcoaster Windy,268,2:03,1196,弱(-0.602±0.5)
[pe], ,♥LOVE² シュガ→♥ (かめりあ&ななひら's Over-Sweet-Dempa ♥LOVE² シュガ→♥な恋愛教室 Remix)(EX),♥LOVE² シュガ→♥ (かめりあ&ななひら's Over-Sweet-Dempa ♥LOVE² シュガ→♥な恋愛教室 Remix),194,2:06,1364,強(+0.916±0.4)
[pe], ,perditus†paradisus(UPPER)(H),perditus†paradisus,172,2:05,1113,中(+0.293±0.4)
[pe], ,SDVX REMIX SELECTION for pop'n music vol.01(EX),SDVX REMIX SELECTION for pop'n music vol.01,165,2:33,1525,中(+0.165±0.4)
[pe], ,Visterhv(EX),Visterhv,191, ,1287,中(+0.306±0.5)
[解], ,アジアンコンチェルトREMIX(UPPER)(EX),鳳凰 ～Chinese Phoenix Mix～,160,2:00,1295,強(+0.685±0.5)
[解], ,エモクトロ(UPPER)(EX),少年リップルズ,210,1:49,1429,中(+0.229±0.5)
[解], ,朧月覆う雲をも裂きぬ(EX),朧月覆う雲をも裂きぬ,192, ,1361,中(+0.262±0.6)
[解], ,極悪の華(EX),極悪の華,167～176, ,1372,中(-0.267±0.5)
[解], ,十界(EX),十界,184, ,1379,中(-0.304±0.5)
[解], ,水晶塔のオルカ(EX),水晶塔のオルカ,66～152, ,1377,中(+0.033±0.4)
[解], ,世界の果てに約束の凱歌を-pop'n ver.-(EX),世界の果てに約束の凱歌を-pop'n ver.-,200, ,1247,弱(-0.631±0.5)
[解],[版],セツナトリップ(UPPER)(EX),セツナトリップ,145,1:57,1337,中(+0.069±0.6)
[解], ,天空ジオグラフィ(EX),天空ジオグラフィ,128, ,1345,強(+0.621±0.5)
[解], ,天和無双(EX),天和無双,180, ,1378,強(+0.953±0.3)
[解], ,嘆きの樹 (BEMANI SYMPHONY Arr.)(EX),嘆きの樹 (BEMANI SYMPHONY Arr.),61～156, ,1329,強(+0.975±0.3)
[解], ,ハラショー！おにぎりサーカス団☆(EX),ハラショー！おにぎりサーカス団☆,185, ,1452,強(+0.972±0.3)
[解], ,焱影(EX),焱影,136, ,1359,強(+0.566±0.4)
[解], ,もうあおむけでいくしかない(EX),もうあおむけでいくしかない,170, ,1244,中(+0.123±0.6)
[解], ,Aftermath(EX),Aftermath,200, ,1387,中(+0.059±0.6)
[解], ,Ancient Heritage(EX),Ancient Heritage,150, ,1211,弱(-0.691±0.4)
[解], ,AsiaN distractive(EX),AsiaN distractive,132～157, ,1310,弱(-0.480±0.5)
[解], ,Danza Pantera(EX),Danza Pantera,150, ,1493,弱(-0.963±0.3)
[解], ,Double Dribble(EX),Double Dribble,210, ,1413,中(-0.161±0.4)
[解], ,LIKE A VAMPIRE(EX),LIKE A VAMPIRE,276, ,1348,中(+0.265±0.6)
[解], ,Miracle 4 RELOADED(EX),Miracle 4 RELOADED,104～180, ,1383,強(+0.607±0.5)
[解], ,On dish or maindish?(EX),On dish or maindish?,208, ,1368,中(-0.357±0.5)
[解], ,Revived After Ruined Shine(EX),Revived After Ruined Shine,225, ,1316,強(+0.468±0.6)
[解], ,Slime Molds(EX),Slime Molds,170, ,1255,弱(-0.720±0.4)
[解], ,smile(EX),smile,188, ,1432,強(+0.600±0.4)
[解], ,Swinging Skulls(EX),Swinging Skulls,250, ,1253,弱(-0.412±0.5)
[解], ,virkatoの主題によるperson09風超絶技巧変奏曲(UPPER)(H),virkatoの主題によるperson09風超絶技巧変奏曲,95～180, ,1425,強(+0.859±0.4)
[UL], ,エモーショナルデュオ(UPPER)(EX),カタルシスの月,200,1:54,1535,強(+0.487±0.5)
[UL], ,鴉(EX),鴉,190, ,1247,弱(-0.536±0.5)
[UL], ,情熱タンデムRUNAWAY(EX),情熱タンデムRUNAWAY,177, ,1458,中(-0.190±0.5)
[UL], ,地方創生☆チクワクティクス(UPPER)(EX),地方創生☆チクワクティクス,170,1:40,1455,強(+0.564±0.4)
[UL], ,マダーロック(UPPER)(EX),Treasure Hoard,120,1:54,1444,強(+0.434±0.5)
[UL], ,ユメブキ(EX),ユメブキ,200, ,1230,中(-0.227±0.5)
[UL], ,Amulet of Enbarr(EX),Amulet of Enbarr,160, ,1230,中(-0.143±0.6)
[UL], ,Bye Bye(EX),Bye Bye,187, ,1292,強(+0.680±0.4)
[UL],[版],Empty Backdoor(EX),Empty Backdoor,169, ,1216,弱(-0.800±0.4)
[UL], ,fallen leaves -IIDX edition-(EX),fallen leaves -IIDX edition-,165, ,1295,強(+0.471±0.4)
[UL], ,ISERBROOK(EX),ISERBROOK,152, ,1241,中(-0.181±0.6)
[UL], ,Journey(EX),Journey,151～196, ,1317,強(+0.970±0.3)
[UL], ,LIMIT TOPPA REVOLUTION(EX),LIMIT TOPPA REVOLUTION,190, ,1359,中(+0.097±0.6)
[UL], ,Shout It Out(EX),Shout It Out,205, ,1356,強(+0.687±0.5)
[UL], ,Τέλος(EX),Τέλος,202, ,1347,強(+0.875±0.4)
[UL], ,THE SAFARI - NEETs ver. -(EX),THE SAFARI - NEETs ver. -,150, ,1244,弱(-0.709±0.4)
[UL], ,unisonote(EX),unisonote,168, ,1425,中(+0.298±0.5)
[CS6], ,クラシック6(EX),maritare!,160,1:31,528,中(+0.210±0.7)
[CS7], ,クラシック7(EX),The tyro’s reverie,190,1:30,871,中(+0.016±0.6)
[CS10], ,コンテンポラリーネイション(EX),BEYOND THE EARTH,140,2:14,1325,中(-0.149±0.4)
[CS12], ,アスレチックミート(EX),一発逆転！××だらけのハッピー大運動会！！,190〜200,1:56,1213,中(-0.276±0.7)
[CS13], ,中華ロック(EX),已経忍不住了,180,1:51,1164,中(-0.393±0.5)
[PMP], ,ドリームゲイザー(EX),Little prayer,174,1:56,1293,弱(-0.647±0.4)
[ee], ,ゴアトランス(EX),IMPLANTATION,145,1:29,910,中(-0.368±0.7)
[ee], ,ジャパメタ(EX),Craze for You,166～333,1:45,1156,中(+0.370±0.6)
[ee], ,ハイパーJポップ3(EX),1/6 billionth,145,1:41,1059,弱(-0.675±0.5)
[ee2], ,ネジロック(EX),螺子之人,100～170,1:29,932,中(+0.174±0.6)
[ee2], ,ハッピーハードコア(EX),Sweet Sweet ♥ Magic,180,1:30,1032,中(+0.077±0.5)
[ee2], ,ビジュアル(EX),月光蝶,109～218,1:34,1023,弱(-0.694±0.5)
[ee2], ,J-ロック(EX),Romance,206,1:55,1356,弱(-0.551±0.5)
