 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[5], ,エンカREMIX(EX),お江戸花吹雪 TEYAN-day MIX,139,1:33,759,中(-0.321±0.7)
[7], ,サーカス(EX),フリーパス,140～186,1:38,1008,中(-0.170±0.6)
[8], ,ターバン(EX),manhattan sports club,178,1:38,879,中(-0.015±0.6)
[8], ,ピラミッド(EX),永遠という名の媚薬,70～270,1:57,826,強(+0.504±0.5)
[9], ,デパファンク(EX),デパ地下のお話,130,1:54,1167,中(-0.039±0.6)
[9], ,ヒップロック2(EX),男々道,156～240,1:59,1093,強(+0.494±0.7)
[10], ,シンフォニックメタル(EX),Holy Forest,185,1:49,1123,中(-0.087±0.5)
[10], ,禅ジャズ(EX),明鏡止水,208～290,2:05,1128,中(-0.363±0.6)
[11], ,ナニワヒーロー(EX),でんがな マンガナ,152,1:37,1058,強(+0.600±0.4)
[11], ,ヒルビリー(EX),Pa La La 42,272,1:36,1034,強(+0.488±0.5)
[11], ,モンゴル(EX),怒れる大きな白い馬,67～148,2:01,1112,中(+0.307±0.7)
[11], ,リンセイ(EX),カゲロウ,164,2:00,1271,中(+0.150±0.6)
[12], ,ビビッド(EX),For Dear～,166～188,1:49,1297,強(+0.512±0.4)
[12], ,ロックビリー(EX),ススメ！少年！！,274,1:40,1179,中(+0.206±0.6)
[13], ,カイゾク(EX),KING of the SEA,160,2:03,1300,中(+0.176±0.5)
[13], ,コアダストビート(EX),真超深TION,177,1:56,1343,弱(-0.607±0.6)
[13], ,ちんどんジャズ(EX),文明開化,213～230,1:55,1336,強(+0.412±0.6)
[13], ,レーシング(EX),violently car,170～300,1:58,1084,中(+0.182±0.7)
[13], ,JAM(EX),HypArcSin(x),240,2:11,1426,中(-0.121±0.5)
[14], ,演説(EX),猿の経,106～126,2:01,1164,強(+0.629±0.5)
[14], ,ケンカドラム(EX),BBLLAASSTT!!,320,1:38,1235,強(+0.493±0.5)
[14], ,トランスランス(EX),full-consciousness green,158～180,1:51,1365,強(+0.606±0.5)
[15], ,アンセムトランスREMIX(EX),Votum stellarum -forest #25 RMX-,140,2:08,1169,中(-0.127±0.6)
[15], ,エンシャントユーロ(EX),In The Ruins,156,1:52,1120,弱(-0.572±0.5)
[15], ,近代絶頂音楽(EX),天庭,88～113,1:55,1171,中(+0.054±0.6)
[15], ,チテイタンケン(EX),スーパーモグー,37～180,2:06,1365,中(-0.039±0.5)
[16], ,ヴァイオリンプログレッシブ(EX),ポルターガイスト,128,1:31,1014,弱(-0.473±0.5)
[16], ,シューゲイザー(EX),chilblain,196,1:48,1249,強(+0.989±0.4)
[16], ,プログレッシブ(EX),V,150,2:00,1456,中(-0.183±0.7)
[16], ,和風プログレッシブ(EX),たまゆら,180,1:45,1075,中(+0.030±0.5)
[17], ,エレジィ2(EX),この子の七つのお祝いに,161,1:39,1209,強(+0.626±0.5)
[17], ,カイジュウ(EX),突然ゴルゴンゾーラ,140,2:02,1532,中(+0.213±0.7)
[17], ,コアロック(EX),へんたいトリロジー,182,1:58,1546,強(+0.957±0.4)
[17], ,サイバーウエスタン(EX),PITAゴラス☆KISS,148,1:55,1286,中(+0.231±0.6)
[17], ,昭和ノワール(EX),誰がために陽はのぼる,225,2:05,1466,中(-0.234±0.6)
[17], ,忍者メタル(EX),背水之陣,164,2:02,1531,中(+0.165±0.5)
[17], ,ピアノテック(EX),Stories,175,1:40,1154,強(+0.945±0.3)
[17], ,フィーバーロボREMIX(EX),踊るフィーバーロボ Eu-Robot Mix,163,2:01,1361,中(+0.099±0.5)
[18], ,下克上ドラムンベース(EX),Ge-Ko-Ku-Jo,175,1:50,1041,中(-0.255±0.5)
[18], ,土偶テクノ(EX),Dogu Ditty,160,1:53,1344,強(+0.975±0.4)
[18], ,ヒップロック3.5(EX),差無来!!,168～210,1:46,1201,強(+0.606±0.6)
[18], ,フォレストスノウ2(EX),白夜幻燈,128,2:04,1168,中(+0.047±0.6)
[19], ,ヴェルヴェットバレットヒット(EX),ヴェルヴェットバレット,177,1:53,1381,中(-0.193±0.6)
[19], ,おしゃまスウィング(EX),なまいきプリンセス,125,2:01,1483,弱(-0.443±0.6) 
[19], ,サイバーメタル(EX),断罪プラズマ,250,1:45,1262,弱(-0.545±0.5)
[19], ,神曲(EX),神曲,140～152,2:08,1399,弱(-0.673±0.5)
[19], ,ハイパードラマティック(EX),薔薇は永遠に美しく,160,1:39,1074,中(+0.143±0.5)
[19], ,ルーニックエア(EX),Princess Roki,126,1:44,1167,弱(-0.554±0.5)
[20], ,あやかしロック(EX),情操ディストピア,228,1:45,1266,中(-0.035±0.6)
[20], ,ヴァルキリーブレイクス(EX),Celsus,165,1:57,1309,弱(-0.712±0.5)
[20], ,幻想音樂(EX),αρχη,120,2:10,1254,強(+0.525±0.5)
[20], ,ダークオペラREMIX(EX),Der Wald (kors k Remix),170,2:03,1314,強(+0.436±0.5)
[20], ,トランスコア(EX),FLOWER,173,2:00,1331,中(+0.094±0.6)
[20], ,呪エモ?(EX),ミサコの日記 (見ちゃダメ!),95～190,2:06,1404,強(+0.713±0.4)
[20], ,姫コア(EX),KIMONO♥PRINCESS,11～190,1:42,1209,強(+0.412±0.5)
[20], ,A.I.ダークネス(EX),DOES NOT COMPUTE,60～190,1:51,1286,弱(-0.497±0.6)
[SP], ,アカシックハードコア(EX),PRANA,188,1:46,1247,弱(-0.457±0.6)
[SP], ,アスレチックブギー(EX),ATTRACTION!,248,1:49,1160,弱(-0.617±0.5)
[SP], ,ヴァリアントレイヴ(EX),PUNISHER,180,1:55,1445,強(+0.521±0.4)
[SP], ,ウィザウチュナイ-ゼクス-(EX),Squeeze,173,1:44,1145,中(-0.118±0.5)
[SP], ,エッジ(EX),雷君,181,1:42,1263,弱(-0.479±0.6)
[SP], ,エレクトロバロック(EX),Amalgamation,166,1:42,1216,強(+0.475±0.4)
[SP], ,お米タル(EX),お米の美味しい炊き方、そしてお米を食べることによるその効果。,190,1:56,1300,強(+0.514±0.4)
[SP], ,スイーツプログレッシヴ(EX),ちくわパフェだよ☆CKP,205,1:56,1489,強(+0.528±0.5)
