 ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[UL],萌えおこし電波ソング(UPPER)(EX),めうめうぺったんたん！！,185,2:00,1888,強(+0.623±0.3)
[UL],Candy Crime Toe Shoes(EX),Candy Crime Toe Shoes,72～202, ,1439,中(+0.365±0.4)
[UL],Mecha Kawa Breaker!!(EX),Mecha Kawa Breaker!!,214, ,1682,別格(+1.175±0.1)
[UL],Satan(EX),Satan,210,1:27,1212,中(-0.350±0.5)
[UL],Unknown Region(EX),Unknown Region,198, ,1534,中(+0.120±0.4)
[UL],VOLAQUAS(EX),VOLAQUAS,212, ,1535, 
[CS6],オイパンク(EX),悲しいね,200,1:34,820,中(+0.085±0.7)
[CS8],クラシック8(EX),Line Times,60～210,1:43,941,別格(+1.073±0.3)
[CS9],クラシック9(EX),Hell? or Heaven?,25～680,2:01,807,強(+0.409±0.4)
[CS11],カウボーイ(EX),Blue River,134,1:59,1607,中(+0.067±0.3)
[CS11],クラシック11(EX),想い出をありがとう,40～320,2:00,955,中(+0.068±0.5)
[CSBest],スクリーン(EX),GALAXY FOREST 11.6&12,379,1:29,633,弱(-0.533±0.4)
[PMP2],リナシタ(EX),uən,200,1:57,1500,別格(+1.009±0.2)
