 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度 

[3], ,サウンドトラック(EX),宇宙船 Q-Mex,128,1:28,671,強(+0.459±0.5)

[8], ,スペシャルクッキング(H),100sec. kitchen Battle!,88～178,1:37,789,中(+0.128±0.5)

[8], ,メロパンク(H),pure,120～168,1:37,775,中(+0.110±0.4)

[9], ,ハイパンク(EX),cobalt,145～175,1:52,954,強(+0.591±0.4)

[9], ,ヒップロック2(H),男々道,156～240,1:59,935,詐称(+1.134±0.2)

[9], ,ポップスアンコール(H),I REALLY WANT TO HURT YOU,135,2:11,820,中(-0.055±0.6)

[9], ,モッズ(H),2tone,170,2:01,738,中(+0.193±0.4)

[10], ,シンフォニックメタル(H),Holy Forest,185,1:49,838,詐称(+1.018±0.4)

[10], ,禅ジャズ(H),明鏡止水,290,2:05,1009,強(+0.463±0.5)

[10], ,ヒーリングフュージョン(EX),Atlantic Spotted Dolphin,192,1:56,894,中(-0.352±0.6)

[10], ,ラブフォーチュン(EX),Sabrina,130,1:53,900,中(-0.119±0.3)

[11], ,オオサカ(H),最強おばちゃん伝説,78～156,1:56,774,中(+0.387±0.6)

[11], ,ハッピーJユーロ(EX),Frost,152,1:30,810,中(-0.128±0.5)

[11], ,メサリミ(EX),D-groove REQ,85～224,2:02,937,強(+0.623±0.5)

[12], ,シンフォニックテクノ(EX),乱,151,2:00,1113,強(+0.605±0.4)

[12], ,フロウビート(H),CURUS,184～188,1:57,1049,中(+0.206±0.4)

[12], ,ラメント(H),雫,95～210,2:02,1089,強(+0.823±0.3)

[13], ,格ゲー(EX),Majestic Fire,180,1:59,1100,強(+0.592±0.5)

[13], ,コアダストビート(H),真超深ＴＩＯＮ,177,1:56,1019,弱(-0.605±0.5)

[13], ,スマイルスマッシュ(EX),MILK・CROWN,160,1:41,907,中(+0.055±0.5)

[13], ,フライングデュオ(EX),キボウノタネ,145,1:59,1063,中(-0.026±0.6)

[13], ,マンボカヨウ(EX),HOTな夜の㊙ドリンク,248,1:34,753,弱(-0.592±0.4)

[13], ,ランブルローズ(EX),ランブルメドレー,122～192,2:03,959,強(+0.566±0.4)

[13], ,JAM(H),HypArcSin(x),240,2:11,919,中(-0.165±0.5)

[14], ,演説(H),猿の経,106～126,2:01,930,強(+0.628±0.4)

[14], ,ガールズパンクスタイル(EX),旅立ちの唄,190,1:53,960,中(+0.193±0.4)

[14], ,サイバーフラメンコ(H),hora de verdad,140～280,1:47,753,中(+0.110±0.4)

[14], ,ソニックブーム(EX),Break on Through,168,1:53,944,中(+0.257±0.4)

[14], ,トランスランス(H),full-consciousness green,158～180,1:51,933,中(-0.206±0.6)

[14], ,フィーバーヒーローエンディング(EX),わたしのフォーティーン(フィーバー戦士ポップン14EDテーマ),148～296,1:55,882,弱(-0.566±0.6)

[15], ,ヴィジュアルREMIX(EX),WHITE BIRDS（Mirage Mix）,122,1:48,827,中(+0.387±0.4)

[15], ,ヴェネツィアーニ(EX),Canal Grande,208,1:47,926,強(+0.408±0.4)

[15], ,エレフラッドウェイヴ(H),Aqua,115,1:49,765,弱(-0.826±0.3)

[15], ,ガラージハウス(EX),together 4ever,140,1:50,841,中(-0.103±0.3)

[15], ,フューチャーフュージョン(EX),∞space,160,1:37,664,弱(-0.963±0.4)

[15], ,ボーイズR&B(EX),Always,130,1:50,875,中(-0.358±0.5)

[15], ,ヒップロック4(H),路男,171,2:00,1026,中(-0.232±0.6)

[15], ,ニエンテ(H),neu,199,2:08,999,中(+0.181±0.5)

[15], ,ラテンREMIX(EX),El Pais del sol (GIVE ME MORE SALSA MIX),120,1:47,976,中(-0.144±0.5)

[16], ,亜空間ジャズ(H),Ergosphere,170,1:44,880,強(+0.514±0.5)

[16], ,クッキーファンタジー(EX),Hearty Party,120～160,1:50,1029,強(+0.592±0.6)

[16], ,ニューレイヴポップ(EX),Run To You,140,2:06,1101,中(+0.128±0.5)

[16], ,ボールヅアウトロック(H),プリンシプル,181,1:59,1292,中(-0.055±0.4)

[16], ,マキナ(EX),SigSig,179,2:01,1000,弱(-0.652±0.5)

[16], ,ラヴリーパラダイスチューン(EX),LOVE☆BA☆ZOOKA！,180,1:40,1092,強(+0.682±0.5)

[17], ,アドレッセンス(EX),ピンク,172,1:57,1125,中(-0.121±0.7)

[17], ,コアロック(H),へんたいトリロジー,182,1:58,1251,強(+0.797±0.2)

[17], ,昭和ノワール(H),誰がために陽はのぼる,225,2:05,1031,中(+0.341±0.5)

[17], ,ハッピーハードコア(EX),STAR SHIP☆HERO,190,1:46,1107,強(+0.772±0.3)

[17], ,ハッピーJヴォーグREMIX(EX),Spring Comes Around (In Like a Lion),159,1:50,1050,中(+0.110±0.3)

[18], ,陣旗プログレッシブ(H),風林火山,92～162,1:43,772,強(+0.743±0.3)

