 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[5], ,レッスン(EX),POP-STEP-UP,32～260,1:33,1008,強(+0.978±0.4)
[7], ,デスレゲエ(EX),夜間行,102～205,1:46,908,中(-0.086±0.6)
[10], ,グランヂデス(EX),ULTRA BUTTERFLY（坤剛力）,140～175,2:03,1217,強(+0.932±0.3)
[10], ,DDR(EX),DDR MEGAMIX,65～333,2:26,1229,強(+0.424±0.7)
[11], ,ドラムンフライ(EX),テンプラ揚三,171,1:52,968,強(+0.437±0.6)
[12], ,敬老パンク(EX),進め！爺ちゃん！,89～356,1:52,1252,強(+0.572±0.5)
[12], ,サイバーガガク(EX),Vairocana,145～290,1:46,1106,強(+0.927±0.4)
[12], ,ヒップロック3(EX),雪上断火,105～180,2:08,1550,強(+0.939±0.3)
[12], ,ラメント(EX),雫,95～210,2:02,1444,中(-0.203±0.5)
[13], ,シンフォニックメタルop.2(EX),Sanctum Crusade,170～180,1:58,1380,中(+0.167±0.5)
[13], ,ハードPf(EX),fffff,138,1:41,1220,中(+0.157±0.4)
[14], ,サイバーフラメンコ(EX),hora de verdad,140～280,1:47,1096,強(+0.460±0.4)
[14], ,フィーバーロボ(EX),踊るフィーバーロボ,160,1:42,1311,中(+0.262±0.4)
[15], ,IDM(EX),ZETA～素数の世界と超越者～,90～180,2:05,1331,中(-0.122±0.4)
[16], ,亜空間ジャズ(EX),Ergosphere,170,1:44,1324,中(-0.327±0.4)
[16], ,グロッソラリア(EX),万物快楽理論,110～135,2:05,1470,中(-0.042±0.5)
[16], ,バイキング(EX),バイキングマン,100～133,1:53,1317,強(+0.930±0.3)
[16], ,PSGブレイクコア(EX),CHIP'N RIDDIM,200,1:50,1350,強(+0.503±0.4)
[17], ,ハードPf+(EX),fffff op.2,266,1:55,1434,中(+0.027±0.5)
[18], ,オリエンタルミソロジー(EX),蛇神,170,2:02,1490,中(-0.273±0.5)
[18], ,陣旗プログレッシブ(EX),風林火山,92～162,1:43,1095,中(-0.281±0.5)
[18], ,戦乱絵巻(EX),西軍｜｜∴⊂SEKIGAHARA⊃∴｜｜東軍,120～210,2:06,1172,弱(-0.743±0.5)
[18], ,ヒップロック5(EX),一激必翔,213,2:02,1535,弱(-0.793±0.3)
[18], ,ふること(EX),序,175～195,2:11,1536,強(+0.780±0.3)
[18], ,謀叛トランス(EX),NOBUNAGA,150,1:50,1266,強(+0.676±0.3)
[19], ,スパイラルステアーズ(EX),BabeL ～Grand Story～,163,2:03,1536,中(+0.273±0.4)
[19], ,スピードコア(EX),MVA,270,1:56,1278,弱(-0.705±0.4)
[19], ,ピアノコンテンポラリー(EX),Macuilxochitl,148,1:48,1434,中(+0.341±0.4)
[19], ,プログレタンゴ(EX),Red Roses,136～170,1:51,1175,強(+0.928±0.3)
[19], ,モダンパンク(EX) ,夢について TYPE C,148,1:35,1211,中(-0.355±0.4)
[20], ,スターリートランス(EX),Southern Cross,155,1:49,1311,弱(-0.714±0.3)
[20], ,ノマディックネイション(EX),カラルの月,135,1:56,1403,中(+0.186±0.4)
[SP], ,アートコア(EX),Valanga,186,1:54,1498,中(-0.070±0.3)
